"species","fullname","decimalLongitude","decimalLatitude","countryCode","coordinateUncertaintyInMeters","year","individualCount","gbifID","basisOfRecord","institutionCode","establishmentMeans","is_cultivated_observation","sourceID"
"Abies spectabilis","Abies spectabilis",88.45,27.55,"IND",NA,NA,1,1699356390,"PRESERVED_SPECIMEN","LD",NA,NA,"GBIF"
"Abies spectabilis","Abies spectabilis",88.85,27.47,"CHN",NA,NA,NA,1020042116,"PRESERVED_SPECIMEN","K",NA,NA,"GBIF"
"Abies spectabilis","Abies spectabilis",85.29,28.85,"CHN",NA,1975,NA,2417396865,"PRESERVED_SPECIMEN","PE",NA,NA,"GBIF"
"Abies spectabilis","Abies spectabilis",88.9,27.48,"CHN",NA,1975,NA,2417310284,"PRESERVED_SPECIMEN","PE",NA,NA,"GBIF"
"Abies spectabilis","Abies spectabilis",87.12,28.65,"CHN",NA,1959,NA,2417477244,"PRESERVED_SPECIMEN","PE",NA,NA,"GBIF"
"Abies spectabilis","Abies spectabilis",87.76,28.36,"CHN",NA,1975,NA,2417480061,"PRESERVED_SPECIMEN","PE",NA,NA,"GBIF"
"Abies spectabilis","Abies spectabilis",85.57,28.22,"NPL",10000,1995,NA,615256920,"PRESERVED_SPECIMEN","GMBA",NA,NA,"GBIF"
"Abies spectabilis","Abies spectabilis",83.9,28.1,"NPL",NA,NA,NA,615256931,"PRESERVED_SPECIMEN","GMBA",NA,NA,"GBIF"
"Abies spectabilis","Abies spectabilis",79.23,30.08,"IND",NA,NA,NA,1020042133,"PRESERVED_SPECIMEN","K",NA,NA,"GBIF"
"Abies spectabilis","Abies spectabilis",85.72,27.43,"NPL",NA,1973,NA,1020042135,"PRESERVED_SPECIMEN","K",NA,NA,"GBIF"
"Abies spectabilis","Abies spectabilis",86.64949,27.978048,"NPL",250,2014,NA,1337980636,"HUMAN_OBSERVATION","naturgucker",NA,NA,"GBIF"
"Abies spectabilis","Abies spectabilis",94.5764,29.5617,"CHN",NA,2006,NA,147013716,"UNKNOWN","A",NA,NA,"GBIF"
"Abies spectabilis","Abies spectabilis",79.7,29.6,"IND",NA,NA,NA,438572427,"PRESERVED_SPECIMEN","MNHN",NA,NA,"GBIF"
"Abies spectabilis","Abies spectabilis",86.706111,27.805278,"NPL",NA,2004,NA,575174310,"PRESERVED_SPECIMEN","E",NA,NA,"GBIF"
"Abies spectabilis","Abies spectabilis",81.137778,29.403889,"NPL",NA,2009,NA,686670637,"PRESERVED_SPECIMEN","E",NA,NA,"GBIF"
"Abies spectabilis","Abies spectabilis",86.696667,27.810833,"NPL",NA,2005,NA,575102799,"PRESERVED_SPECIMEN","E",NA,NA,"GBIF"
"Abies spectabilis","Abies spectabilis",87.45,27.166667,"NPL",NA,1991,NA,575044740,"PRESERVED_SPECIMEN","E",NA,NA,"GBIF"
"Abies spectabilis","Abies spectabilis",84.233333,28.533333,"NPL",NA,1994,NA,575078492,"PRESERVED_SPECIMEN","E",NA,NA,"GBIF"
"Abies spectabilis","Abies spectabilis",82.160556,29.343056,"NPL",NA,2008,NA,575002396,"PRESERVED_SPECIMEN","E",NA,NA,"GBIF"
"Abies spectabilis","Abies spectabilis",82.166667,29.166667,"NPL",NA,1991,NA,575075026,"PRESERVED_SPECIMEN","E",NA,NA,"GBIF"
"Abies spectabilis","Abies spectabilis",86.733611,27.825556,"NPL",NA,2005,NA,575360209,"PRESERVED_SPECIMEN","E",NA,NA,"GBIF"
